communityName,state,countyCode,communityCode,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,OwnOccQrange,RentLowQ,RentMedian,RentHighQ,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LemasSwornFT,LemasSwFTPerPop,LemasSwFTFieldOps,LemasSwFTFieldPerPop,LemasTotalReq,LemasTotReqPerPop,PolicReqPerOffic,PolicPerPop,RacialMatchCommPol,PctPolicWhite,PctPolicBlack,PctPolicHisp,PctPolicAsian,PctPolicMinor,OfficAssgnDrugUnits,NumKindsDrugsSeiz,PolicAveOTWorked,LandArea,PopDens,PctUsePubTrans,PolicCars,PolicOperBudg,LemasPctPolicOnPatr,LemasGangUnitDeploy,LemasPctOfficDrugUn,PolicBudgPerPop,murders,murdPerPop,rapes,rapesPerPop,robberies,robbbPerPop,assaults,assaultPerPop,burglaries,burglPerPop,larcenies,larcPerPop,autoTheft,autoTheftPerPop,arsons,arsonsPerPop,ViolentCrimesPerPop,nonViolPerPop
Norfolkcity,VA,710,57000,261229,2.92,39.05,56.74,,,,,,9.63,261229,100,23563,78.8,0.41,29.49,24.1,9.33,18.3,26818,11643,14699,7504,10944,8746,8291,9511,43944,19.32,8.78,27.31,16.82,6.1,64.57,10.28,24.12,14.05,23.29,10.78,45.21,15.33,12.87,3.12,62.76,55.53,72.45,58.3,54.88,62.4,15750,9.62,9766,18.72,28.07,36.68,45.89,0.7,1.05,1.37,1.72,92.82,0.73,6.13,4.02,2.55,2.58,2.53,44.52,5.32,57.54,2,9284,90.6,44.02,3.94,30.95,1958,10.51,0.35,60700,74500,97100,36400,276,361,438,162,438,28.5,23.4,13.5,253,29,3.74,45.69,39.31,62.4,71.19,680,278.85,608,249.33,313643,128617.6,461.2,278.9,68.51,88.24,10.59,0.74,0.44,11.76,52,7,67.5,,,,,,89.41,5,7.65,105828,,,,,,,,,,,13535,5550.38,2173,891.1,135,55.36,1135.5,8027.25
Danvillecity,VA,590,21344,53056,2.44,36.62,62.66,,,,,,16.83,53056,100,20413,71.52,0.68,30.55,36.54,9.47,18.31,27752,11344,13725,7340,7093,9510,3000,13418,9795,18.96,20.69,42.55,12.42,8.71,54.71,33.75,21.29,28.08,19.44,12,28.43,15.24,13.8,2.96,60.31,53.99,59.36,59.43,68.72,74.42,3041,6.59,359,4.46,8.91,14.48,18.94,0.03,0.06,0.1,0.13,97.4,0.45,4.1,2.78,2.38,2.43,2.3,60.72,2.57,50.75,2,1585,93.2,59.44,6.5,51.74,1957,10.52,0.85,32500,47000,65800,33300,130,195,267,137,278,23.6,16.4,12.7,61,0,0.68,77.66,59.51,81.4,92.62,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1622,2961.31,82,149.71,17,31.04,385.23,3850.44
FrontRoyaltown,VA,,,11880,2.53,8.43,90.66,,,,,,14.65,0,0,26777,75.69,0.73,31.35,33.16,6.53,18.55,31531,12062,12299,9788,3956,25571,4637,9253,1070,9.21,19.45,41.92,8.06,6.16,60.67,12.73,20.15,16.35,17.76,11.6,26.11,13.33,12.52,3.03,71.9,67.06,89.05,73.18,68.15,72.71,180,1.85,161,3.11,3.11,23.6,23.6,0.04,0.04,0.32,0.32,96.6,0.58,4.3,2.94,2.49,2.57,2.37,62.27,2.21,42.87,3,284,94.3,60.33,3.52,44.37,1964,8.09,0.68,63000,81000,105400,42400,252,336,417,165,411,22.9,21.9,11.7,0,0,1.36,72.3,52.55,78.6,91.72,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,455,3356.45,25,184.42,4,29.51,177.04,4086.75
Richmondcity,VA,760,67000,203056,2.38,55.22,43.35,,,,,,13.66,203056,100,23551,74.21,0.46,31.91,28.24,10.18,15.96,29021,13993,20876,8676,16087,9641,12168,11581,40103,20.89,12.2,31.91,24.24,6.43,58.44,12.18,27.61,14.02,27.35,14.48,42.45,16.82,15.77,2.97,45.21,38.54,54.76,49.69,63.65,70.49,18852,13.21,3720,15.08,25.16,34.33,42.9,0.28,0.46,0.63,0.79,96,0.4,5.14,2.88,2.25,2.39,2.12,49.25,3.06,57.24,2,8804,90.65,46.3,10.89,40.3,1953,8.45,0.6,47700,66600,98200,50500,232,333,424,192,413,27.5,21.4,14.5,287,3,1.83,70.47,49.59,77.75,89.86,646,318.02,588,289.47,880656,433536.59,1363.2,318,70.3,72.6,26.01,1.39,0,27.24,30,11,73.7,,,,,,91.02,5,4.64,156498,,,,,,,,,,,11571,5696.27,2215,1090.42,170,83.69,1617.17,9371.69
Stauntoncity,VA,790,75216,24461,2.59,12.6,86.59,,,,,,15.22,0,0,25366,74.37,0.8,40.91,33.18,7.4,20.05,32414,12912,13637,8458,4982,5657,5336,6514,2534,11.66,13.6,28.58,17.78,3.58,56.01,16.43,30.16,17.44,24.32,12.9,28.31,13.2,13.06,2.86,70.86,63.29,71.62,73.15,62.25,74.67,539,2.94,367,24.25,35.15,35.15,50.95,0.36,0.53,0.53,0.76,96.48,0.42,2.66,1.74,2.3,2.4,2.15,63.82,1.23,42.79,3,571,94.29,61.24,1.4,49.04,1958,8.16,0.42,46200,62700,85300,39100,208,284,357,149,359,24.1,17,12.6,30,0,1.5,71.49,49.22,69.15,86.45,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,625,2491.03,21,83.7,2,7.97,171.38,3021.12
Alexandriacity,VA,510,1000,111183,2.09,21.89,69.07,,,,,,9.02,111183,100,41472,86.8,0.58,50.03,13.5,3.06,13.91,50812,25509,30740,13798,22573,16351,10647,12435,7732,7.09,6,13.09,48.55,3.5,76.42,4.36,28.44,5.46,47.71,12.82,42.34,15.93,14.47,2.83,65.23,60.72,77.59,61.34,69.69,76.46,4158,7.23,17998,27.26,41.56,55.32,66.07,4.41,6.73,8.96,10.69,81.13,4.98,4.71,2.22,2.04,2.09,2.01,41.45,5,71.17,2,4972,91.46,40.48,0.58,10.12,1963,2.21,0.34,161400,228600,327700,166300,570,667,825,255,701,25.4,22.2,12,381,2,16.19,22.05,36.8,54.42,66.59,257,225.41,225,197.34,78100,68499.8,303.9,225.4,83.86,84.44,12.06,1.56,1.17,14.79,26,9,219.6,,,,,,87.55,0,10.12,192440.3,,,,,,,,,,,5682,4983.55,969,849.89,31,27.19,659.56,6668.42
Leesburgtown,VA,,,16202,2.55,12.26,85.3,,,,,,6.73,0,0,39887,89.09,0.77,41.65,13.6,3.66,9.94,44626,17574,18854,9975,25758,10078,0,11828,975,6.14,7.61,17.31,28.55,2.11,77.4,9.62,20.68,7.12,33.31,10.75,28.14,14.64,12.8,3.04,76.58,74.16,88.38,80.02,68.27,72.67,319,2.95,856,21.96,31.78,38.08,50.12,1.16,1.68,2.01,2.65,92.89,1.71,3.67,2.51,2.5,2.61,2.37,57.57,1.51,43.91,3,652,90.68,55.12,0.31,31.44,1981,2.63,0.13,129200,161100,202500,73300,511,622,695,184,696,26.5,26.9,14.4,6,0,5.28,45.28,30.42,58.8,73.12,159,795.96,96,480.58,42356,212034.41,266.4,796,89.71,94.97,2.52,1.26,0.63,4.4,8,7,103,,,,,,60.38,10,5.03,503994.31,,,,,,,,,,,408,2042.45,23,115.14,1,5.01,150.18,2432.92
Chesapeakecity,VA,550,16000,151976,2.92,27.41,70.67,1.25,1.26,14.33,27.6,12.44,7.8,146527,96.41,35737,85.51,0.59,34.01,18.83,5.21,19.19,39093,13817,15256,10227,19359,10075,11951,12765,13329,8.97,7.95,22.89,16.9,4.23,67.88,14.72,21.81,12.16,26.44,9.42,26.28,12.24,10.87,3.22,76.7,71.01,82.69,76.22,65.15,73.04,4413,4.04,2652,10.52,15.5,21.23,27.07,0.18,0.27,0.37,0.47,96.17,0.41,5.02,4.03,2.87,2.93,2.71,74.48,2.78,30.99,3,3777,93.22,72.96,8.05,32.14,1975,4.18,0.44,68200,88200,117100,48900,299,399,489,190,494,26.7,23.9,13.1,5,0,1.75,58.1,48.07,67.38,86.38,261,143.1,229,125.55,122309,67057.2,468.6,143.1,82.16,88.51,10.73,0.38,0.38,11.49,12,6,13.2,,,,,,87.74,10,4.6,44686,,,,,,,,,,,4958,2718.28,490,268.65,95,52.08,430.93,3922.8
Portsmouthcity,VA,740,64000,103907,2.68,47.33,51.21,0.8,1.31,13.98,28.08,13.58,12.82,103907,100,24601,76.39,0.29,25.79,26.67,10.41,22.15,28517,11158,14147,7935,10528,10842,8516,8903,17920,17.74,12.62,33.36,11.62,7.33,57.5,18.46,23.52,15.94,20.93,12.47,31.11,16.3,14.52,3.13,59.44,50.46,68.38,59.14,59.2,67.3,6631,7.93,1388,8.21,16.71,25.5,35.37,0.11,0.22,0.34,0.47,96.02,0.65,5.65,4.04,2.62,2.64,2.59,56.28,4.27,50.04,2,3542,91.62,55.87,7.65,39.16,1958,9.86,0.47,53800,67400,86400,32600,235,327,399,164,416,28.3,22.9,13.6,3,16,1.34,65.45,53.77,78.73,89.2,207,198.08,167,159.8,150000,143533.8,724.6,198.1,66.5,84.54,14.01,0.48,0.97,15.46,14,5,99,34.3,3026.2,3.49,181,10538438,80.68,0,6.76,100841.5,33,31.58,56,53.59,746,713.84,532,509.07,1720,1645.85,5008,4792.12,1252,1198.03,127,121.53,1308.07,7757.52
Blacksburgtown,VA,,,34590,3.1,4.27,87.43,7.7,1.76,42.76,66.39,55.44,3.88,0,0,18592,90.2,1.48,53.52,10.45,3.69,8.16,35617,9750,10152,7824,3258,6539,6331,7389,9930,37.43,3.4,8.25,61.57,6.88,45.37,6.9,50.34,6.07,43.57,2.92,73.08,5.67,4.14,2.85,78.41,78.18,83.65,81.5,56.73,63.73,178,1.8,3746,36.89,54.64,67.3,72.32,4,5.92,7.29,7.83,88.3,1,2.06,1.02,2.37,2.58,2.28,34.37,1.83,52.12,2,682,94.25,31.6,0.59,23.46,1975,2.67,0.34,73700,94300,127300,53600,307,365,451,144,417,35.1,18.6,11,0,0,10.81,37.19,18.33,31.15,69.3,,,,,,,,,,,,,,,,,,19.4,1779.3,6.36,,,,,0,,0,0,13,36.53,4,11.24,23,64.63,137,384.99,647,1818.18,14,39.34,0,0,112.41,2242.52
VirginiaBeachcity,VA,810,82000,393069,2.9,13.91,80.5,4.33,3.09,14.92,32.58,15.46,5.44,389533,99.1,36271,89.64,0.5,40.64,14.03,3.04,16.87,39112,15242,16327,10726,12323,10821,10468,11025,22307,5.86,3.06,12.03,25.5,3.86,73.79,8.46,23.41,8.63,30.35,8.83,30.06,12.61,10.69,3.21,81.23,78.47,88.85,81.03,60.67,68.95,5599,2.35,20517,12.41,20.06,29.47,36.54,0.65,1.05,1.54,1.91,92.07,0.73,4.8,3.65,2.82,2.9,2.67,64.46,2.48,33.3,3,11471,92.2,62.49,0.68,28.06,1978,2.5,0.31,78800,96500,134000,55200,420,484,556,136,577,27,24.9,12.2,297,0,5.22,35.64,35.82,59.94,70.96,597,136.94,546,125.24,845915,194035.41,1416.9,136.9,91.22,88.78,8.04,1.51,1.17,10.72,47,9,109.1,257.3,1527.9,0.75,366,35618344,91.46,10,7.87,81701.1,22,5.05,181,41.52,631,144.74,414,94.96,3261,748.01,14812,3397.57,1195,274.11,200,45.88,286.27,4465.56
Parkersburgcity,WV,,,33862,2.34,1.7,97.7,0.3,0.29,12.47,23.71,11.54,17.41,33809,100,20461,64.27,0.43,35.8,38.41,9.42,21.02,26550,11269,11322,8976,5115,15083,0,17367,6308,18.99,13.76,30.81,12.8,8.01,50.9,19.48,24.23,17.86,22.77,11.35,25.25,14.62,13.17,2.89,67.27,64.43,72.81,75.54,52.37,63.04,763,2.6,272,12.13,14.34,15.81,15.81,0.1,0.12,0.13,0.13,97.75,0.44,3.04,2,2.3,2.39,2.16,65.27,0.95,48.37,3,1878,88.51,62.93,3.41,54.58,1951,9.3,0.32,30900,42600,60000,29100,179,247,299,120,330,27.1,16.3,13.3,4,1,0.8,80.69,56.47,86.73,91.55,,,,,,,,,,,,,,,,,,11.6,2926.2,0.9,,,,,0,,3,9.03,12,36.13,18,54.2,39,117.43,347,1044.87,820,2469.14,66,198.74,37,111.41,216.8,3824.15
Weirtoncity,WV,,,22124,2.42,4.14,95.21,0.43,0.46,12,21.54,10.13,18.22,22124,100,28261,68.27,0.43,50.13,38.56,6.22,26.05,34117,13944,13817,10191,7309,60635,0,15528,2081,9.48,12.65,26.07,11.35,6.7,49.1,35.86,21.38,22.82,18.7,8.19,23.92,10.28,9.32,2.9,76.39,74.61,82.6,86.89,52.45,58.65,218,1.14,755,1.46,1.46,2.78,2.78,0.05,0.05,0.09,0.09,90.62,0.92,2.3,1.67,2.4,2.52,2.1,75.98,0.81,38.82,3,504,94.77,72.53,2.38,54.17,1955,3.22,0.05,35500,48400,66100,30600,176,239,285,109,335,21.4,14.2,11.8,0,1,3.41,51.09,70.13,88.18,93.45,,,,,,,,,,,,,,,,,,18.6,1190,0.91,,,,,0,,1,4.64,3,13.92,4,18.56,44,204.16,115,533.59,288,1336.3,32,148.48,3,13.92,241.28,2032.29
Bluefieldcity,WV,,,12756,2.44,22.62,76.87,0.36,0.35,,,,,0,0,21319,60.37,0.23,36.1,45.01,8.85,22.46,28927,13149,14871,6185,30000,45390,0,8119,2487,19.92,12.26,29.67,17.34,5.75,46.99,7.85,27.3,11.38,30.62,9.46,24.97,11.13,10.42,3.01,70.42,63.1,70.59,75.95,52.44,60.18,330,2.91,178,0,0,7.3,11.24,0,0,0.1,0.16,97.11,0.09,4.28,2.88,2.39,2.43,2.29,71.3,1.68,39.72,3,770,87.18,70,2.21,65.84,1945,7.96,0.58,27300,44700,67000,39700,143,213,287,144,278,30.9,17,11.7,9,0,1.4,70.09,68.32,87.72,91.24,,,,,,,,,,,,,,,,,,8.7,1461.5,1.25,,,,,0,,1,7.92,1,7.92,14,110.81,25,197.88,99,783.6,249,1970.87,13,102.9,0,0,324.52,2857.37
Wheelingcity,WV,,,34882,2.32,4.46,94.67,0.72,0.3,,,,,34881,100,21053,64.58,0.28,42.28,40.6,8.21,21.03,29252,12665,12908,7068,1323,13424,0,7067,5715,16.91,11.51,25.28,18.43,6.66,52.57,11.58,31.84,14.07,28.82,9.47,29.65,12.57,11.2,2.94,69.05,67.22,75.14,70.2,64.36,68.78,931,3.23,563,6.93,8.88,9.77,10.83,0.11,0.14,0.16,0.17,95.57,0.49,3.25,2.01,2.24,2.47,1.88,67.5,1.09,50.72,2,2090,87.8,61.26,5.84,66.89,1939,8.11,0.67,31200,47000,68000,36800,142,207,281,139,274,26.5,16.9,11.8,0,9,1.61,74.43,62.6,86.35,90.85,,,,,,,,,,,,,,,,,,14.3,2440.7,4.19,,,,,0,,1,2.93,12,35.21,56,164.32,113,331.57,388,1138.5,557,1634.39,88,258.22,10,29.34,534.04,3060.45
Moundsvillecity,WV,,,10753,2.53,1.28,98.36,0.2,1.13,,,,,10753,100,20036,63.85,0.16,38.33,39.86,10,25.7,24126,10048,10078,6528,3723,2000,0,8895,1692,16.7,14.37,35.59,8.71,9.34,43.98,14.97,25.51,18.5,19.88,12.11,27.58,12.7,12.41,2.95,72.67,66.92,78.98,84.27,48,61.72,168,1.72,30,0,0,0,0,0,0,0,0,97.61,0.32,2.68,1.88,2.38,2.42,2.31,69.51,1.22,51.99,2,360,92.2,68.48,4.17,56.94,1943,9.98,0.26,27900,38100,50400,22500,142,188,238,96,276,28,15.7,11.8,0,0,0.28,84.48,58.35,86.25,93.1,,,,,,,,,,,,,,,,,,3,3623,0.11,,,,,0,,0,0,0,0,1,9.23,3,27.69,80,738.28,278,2565.52,34,313.77,0,0,36.91,3617.57
Clarksburgcity,WV,,,18059,2.27,3.52,95.95,0.3,1.4,,,,,0,0,17884,61.27,0.28,37.25,45.71,9.39,26.73,24305,10473,10672,5971,4184,1489,2471,15215,3019,17.02,10.93,28.67,14.11,11.12,44.96,8.74,28.26,15.9,23.97,10.88,25.36,12.99,12.07,2.9,68.87,66.74,77.83,78.15,66.18,69.38,323,2.08,216,2.78,2.78,2.78,2.78,0.03,0.03,0.03,0.03,94.75,0.39,2.95,1.88,2.24,2.34,2.06,65.98,0.87,51.6,2,1297,85.96,63.08,2.54,66.85,1939,7.71,1.17,28800,41700,59200,30400,157,208,261,104,292,29.5,20.3,12.7,10,0,1.2,84.86,62.46,89.22,94.18,,,,,,,,,,,,,,,,,,8.1,2219.6,2.14,,,,,0,,0,0,5,28.19,3,16.91,7,39.47,73,411.59,365,2057.96,27,152.23,1,5.64,84.57,2627.42
Morgantowncity,WV,,,25879,2.7,3.48,91.95,4.07,1.09,,,,,0,0,18022,77.8,0.72,45.33,23.41,2.42,16.13,34019,10533,10777,6471,10264,9130,2778,6423,6539,30.75,6.27,14.84,44.17,8.03,46.44,6.51,49.01,6.07,40.57,4.61,61.87,6.59,5.6,2.85,78.5,77.44,90.84,73.6,52.86,68.12,149,1.37,1469,50.58,59.16,65.76,72.23,2.87,3.36,3.73,4.1,92.45,0.87,2.33,1.51,2.21,2.41,2.05,48.39,1.39,50.19,2,834,92,44.37,1.2,39.57,1952,3.73,0.14,51900,69500,94100,42200,232,306,423,191,355,35.1,16.5,11.7,70,0,5.68,48.28,36.12,49.2,66.96,,,,,,,,,,,,,,,,,,8,3226.8,2.45,,,,,0,,0,0,24,90.21,13,48.86,59,221.77,208,781.84,1008,3788.9,50,187.94,7,26.31,360.85,4784.99
Martinsburgcity,WV,,,14073,2.33,8.56,90.13,0.58,1.16,,,,,0,0,22193,68.88,0.77,34.66,38.01,6.77,21.29,28899,11563,11822,8345,10545,16123,0,11488,2232,16.07,14.44,32.13,16.72,8.38,53.53,20.2,28.63,20.7,25.03,13.34,27.62,14.38,13.91,2.98,67.54,63.24,77.37,71.41,63.97,71.63,413,3.86,238,7.98,15.97,25.63,31.93,0.14,0.27,0.43,0.54,96.07,0.52,4.29,2.63,2.3,2.43,2.16,55.2,1.74,51.41,2,630,90.55,52.32,3.65,37.46,1952,10.55,0.76,41500,57400,80000,38500,190,275,373,183,355,25.6,17.3,12.5,36,0,1.69,63.23,52.17,79.02,85.64,,,,,,,,,,,,,,,,,,4.7,3009.6,2.03,,,,,0,,3,20.04,0,0,20,133.6,35,233.8,202,1349.37,927,6192.38,65,434.2,15,100.2,387.44,8076.15
Huntingtoncity,WV,,,54844,2.34,6.75,92.52,0.46,0.54,,,,,54844,100,18276,63.37,0.3,34.18,39.35,9.64,22.15,26283,12005,12335,6972,7201,23973,5467,8106,12021,23.18,11.89,27.58,20.85,10.76,45.3,11.57,34.55,11.8,32.16,10.92,32.48,13.71,12.48,2.89,66.78,63.3,72.2,66.97,51.18,61.67,1102,2.5,668,20.36,27.99,32.78,37.28,0.25,0.34,0.4,0.45,96.98,0.38,2.79,1.7,2.21,2.36,2.02,60.75,1.08,53.61,2,3255,87.8,57.07,4.02,58.99,1945,10.5,0.53,33400,46700,67200,33800,169,235,296,127,311,30.9,17.2,12.1,68,6,1.22,74.83,53.71,77.93,89.1,101,187.16,94,174.19,50000,92652.6,495,187.2,93.51,99.01,0.99,0,0,0.99,12,5,116.2,15.4,3553,1.64,50,2380215,93.07,0,11.88,44106.6,2,3.71,61,113.04,83,153.8,158,292.78,787,1458.35,2259,4186.05,136,252.02,33,61.15,563.33,5957.57
Beckleycity,WV,,,18296,2.33,22.25,76.07,1.3,0.63,,,,,0,0,19110,58.89,0.32,35.58,43.82,9.96,25.07,27945,12371,13544,5952,16291,45598,0,24086,3780,21.38,13.48,28.37,19.3,8.32,44.61,3.86,36.21,7.18,34.57,11.47,25.96,14.16,13.02,2.93,63.68,60.89,68.5,73.67,47.56,64.18,589,3.54,348,4.31,6.03,9.2,11.78,0.08,0.11,0.17,0.22,95.85,0.46,3.52,2.2,2.25,2.31,2.17,63.13,1.63,48.48,3,1069,88.01,61.65,3.93,65.86,1953,8.12,0.38,36100,50800,71900,35800,164,239,317,153,312,28.6,19.8,12,9,0,1.9,78.34,59.55,85.47,92.28,,,,,,,,,,,,,,,,,,9.3,1963.1,0.06,,,,,0,,3,16.2,13,70.22,46,248.47,160,864.26,248,1339.6,1175,6346.89,64,345.7,12,64.82,1199.16,8097.01
Fairmontcity,WV,,,20210,2.33,6.65,92.61,0.36,0.63,,,,,0,0,18370,60.74,0.5,40.93,42.01,9.8,26.27,26550,10782,11161,6183,3912,4385,909,7661,4241,21.89,10.55,25.74,16.64,13.48,43.58,12.82,27.24,13.7,25.97,10.07,30.92,11.43,10.83,2.87,69.3,66.39,72.59,72.09,51.82,62.2,606,3.79,349,20.06,23.5,23.5,30.66,0.35,0.41,0.41,0.53,96.34,0.41,2.75,1.72,2.23,2.33,2.05,67.8,0.95,50.25,2,1281,87.14,64.91,4.92,67.14,1945,8.34,0.34,29100,42500,60600,31500,152,208,281,129,299,29.9,17.5,13.1,33,0,1.73,79.7,60.5,83.3,92.84,,,,,,,,,,,,,,,,,,7.8,2592.4,0.77,,,,,0,,0,0,1,4.83,12,57.99,95,459.07,119,575.05,614,2967.04,29,140.14,0,0,521.89,3682.23
SouthCharlestoncity,WV,,,13645,2.23,4.05,94.94,0.73,0.56,,,,,13645,100,27366,72.6,0.36,40.47,33.48,5.57,24.34,34347,14422,14628,10127,0,10125,0,28967,1560,11.48,6.53,17.43,22.6,4.83,57.95,12.15,29.01,8.73,31.41,9.75,22.71,15.21,12.8,2.81,70.64,69.48,78.24,69.89,68.73,72.56,145,1.29,132,15.91,15.91,23.48,30.3,0.15,0.15,0.23,0.29,97.61,0.56,1.92,1.24,2.22,2.3,2.06,69.54,0.47,48.6,3,514,92.26,67.16,1.95,44.94,1953,4.28,0.38,47500,61100,78800,31300,211,276,346,135,350,23.1,15.7,11.4,6,0,0.97,79.27,59.3,87.59,93.21,,,,,,,,,,,,,,,,,,5.4,2517.5,1.83,,,,,0,,1,7.43,2,14.87,12,89.2,13,96.63,51,379.1,304,2259.72,36,267.6,2,14.87,208.13,2921.28
Charlestoncity,WV,,,57287,2.26,14.25,84.1,1.28,0.62,11.96,22.74,10.7,16.39,57287,100,23584,66.79,0.25,40.59,34.75,10.33,22.18,32972,16067,17433,7206,14252,27841,2213,12194,10560,18.77,9.19,22.75,28.6,7.34,53.1,8.32,29.09,7.56,36.31,11.93,28.88,15.13,13.72,2.88,63.92,61.37,68.47,68.53,51.36,62.34,2249,4.78,1021,11.07,17.14,22.14,24.49,0.2,0.31,0.39,0.44,95.75,0.41,2.69,1.64,2.21,2.39,1.98,60.01,1.07,50.44,2,2805,90.02,55.46,3.21,48.81,1951,8.29,0.4,43400,66100,96700,53300,166,261,355,189,329,24.7,15.9,11.4,156,14,1.78,77.11,56.53,84.22,90.86,158,281.12,128,227.74,100000,177923.3,632.9,281.1,95.49,88.61,11.39,0,0,11.39,16,5,178.7,30.5,1876.5,5.26,102,5400000,81.01,0,10.13,96078.6,16,28.47,51,90.74,290,515.98,412,733.04,1293,2300.55,4228,7522.6,454,807.77,84,149.46,1368.23,10780.37
Viennacity,WV,,,10862,2.41,0.49,98.82,0.57,0.23,12.73,22.32,10.38,15.56,10862,100,31613,72.11,0.16,47.6,35.07,3.63,20.36,37546,15599,15348,14505,729,42397,0,36225,578,5.32,6.7,18.05,20.94,4.53,58.06,23.28,24.59,14.23,31.97,7.24,20.27,9.32,8.36,2.91,82.72,81.98,92.35,88.87,70.58,69.23,33,0.38,95,0,0,0,0,0,0,0,0,97.69,0.2,2.28,1.64,2.41,2.52,2.03,80.1,0.62,35.27,3,311,93.55,76.38,0.32,40.19,1960,2.48,0.39,40500,55300,76200,35700,202,259,323,121,344,23.1,15.6,11.9,0,0,0.87,74.34,66.16,87.85,92.45,,,,,,,,,,,,,,,,,,3.9,2816.9,0.72,,,,,0,,0,0,0,0,1,9.04,2,18.07,15,135.55,274,2476.05,6,54.22,2,18.07,27.11,2683.9
